,activtrak,aftership,aha,aircall,algolia,amplitude,anaconda,anyword,appfollow,asana,assemblyai,atlassian,avoma,awskendra,blameless,botpress,box,breezy,buffer,canva,caspio,clarifai,cledara,clevertap,clickup,codecademy,cohere,constantcontact,coschedule,couchbase,databricks,deel,deepbrain,deepgram,edenai,elementor,employment-hero,evernote,flatfile,getresponse,getshogun,github,goto,grammarly,harness,hive,hiverhq,hootsuite,huggingface,izea,learnworlds,logicmonitor,logrocket,lokalise,madgicx,mailchimp,manatal,mixmax,mongodb,oneplan,openai,otter,pagerduty,pardot,pinecone,pipedrive,podium,postman,reply,resemble,salesloft,scratchpad,semrush,slack,smarterqueue,uizard,veed,voiceflow,workable,wrike,zenhub,ziprecruiter,zoho-recruit
activtrak,1.0,0.59413886,0.6667015,0.46763903,0.5679604,0.446822,0.5245007,0.5569674,0.4205402,0.64548415,0.5888475,0.52592206,0.6241332,0.49959517,0.534951,0.486813,0.45087597,0.61511546,0.6279286,0.44667366,0.58883786,0.5339273,0.4143625,0.6239215,0.7313236,0.6105901,0.59909177,0.44335806,0.6757088,0.5450264,0.5187803,0.5779828,0.6580633,0.48516622,0.5045308,0.4790197,0.3861764,0.58817357,0.4044895,0.35595387,0.517137,0.52176464,0.5594711,0.35942483,0.7131198,0.5601442,0.4649114,0.50507593,0.63058126,0.6392617,0.57571936,0.5758955,0.6063725,0.5911704,0.5912065,0.33631665,0.4424773,0.4960621,0.44459215,0.13274804,0.3706345,0.5899862,0.71120584,0.41351378,0.6756829,0.4229619,0.6133629,0.5597982,0.6134147,0.51349354,0.5109886,0.65050817,0.54778314,0.56142557,0.6250888,0.6668165,0.5601747,0.6208167,0.64704597,0.4902895,0.50617003,0.5874732,0.5827727
aftership,0.59413886,0.9999999,0.69973326,0.46489632,0.63642037,0.5243467,0.5587472,0.66711557,0.55959505,0.57271314,0.6737965,0.5577718,0.5267806,0.40626734,0.53639114,0.5260164,0.48461646,0.74011075,0.60590196,0.46963197,0.4703189,0.57927406,0.4842838,0.7573381,0.6712577,0.54262197,0.50078034,0.6058829,0.5431889,0.50715554,0.46544254,0.56258875,0.5914132,0.323431,0.6626246,0.4430557,0.48519656,0.5542714,0.49748623,0.46390873,0.4302962,0.4540203,0.6438378,0.46675545,0.59016395,0.54803646,0.4602179,0.60792387,0.639765,0.6455118,0.53705055,0.4895337,0.64383745,0.6097292,0.5700635,0.33022156,0.46860087,0.49662495,0.39314872,0.19831988,0.3328964,0.5934749,0.71479005,0.28828973,0.48156387,0.48597312,0.543795,0.619295,0.7436503,0.51712596,0.62560904,0.7077308,0.65156186,0.63848686,0.47927243,0.6538173,0.5828935,0.5735792,0.66177714,0.6944507,0.47434303,0.6433302,0.6118742
aha,0.6667015,0.69973326,1.0,0.47378245,0.6440628,0.547078,0.60133445,0.66697943,0.5258508,0.6367487,0.56843686,0.59288925,0.59666777,0.48140496,0.5181992,0.55632377,0.5250481,0.7633929,0.6052202,0.5069652,0.51448,0.5982421,0.44568196,0.7210729,0.7507621,0.5387566,0.5651729,0.4849312,0.52188367,0.5325239,0.56823725,0.64577097,0.626292,0.44655007,0.6120237,0.45802754,0.5517254,0.544168,0.51853085,0.4358005,0.5331112,0.48639658,0.6225741,0.46865985,0.60112333,0.57136106,0.54045004,0.5114301,0.60597646,0.64290583,0.60012734,0.5110287,0.6244136,0.65518755,0.58578503,0.33210218,0.41682488,0.51820135,0.37230933,0.14637864,0.38610882,0.62935966,0.62261665,0.33029777,0.5261308,0.5419375,0.6058181,0.5671371,0.62247777,0.51895213,0.5941169,0.67518437,0.64678526,0.68908775,0.46950674,0.66542923,0.63577634,0.5917965,0.66405374,0.59941614,0.5371709,0.56139505,0.60827816
aircall,0.46763903,0.46489632,0.47378245,1.0000005,0.5412007,0.4338284,0.4174776,0.5187651,0.56927264,0.41134152,0.5334858,0.51877,0.43446139,0.32640484,0.46339118,0.536875,0.44149458,0.518757,0.4525899,0.3647443,0.3918801,0.4134946,0.4898194,0.54273665,0.46717614,0.4731696,0.44300526,0.41578794,0.4556083,0.27850652,0.36902457,0.43023014,0.45739627,0.25686246,0.4339214,0.35974813,0.43179563,0.47968835,0.48691487,0.43603426,0.3309694,0.27698198,0.536738,0.4159307,0.36777171,0.4927715,0.36300343,0.45300686,0.48662978,0.49688792,0.4696274,0.33404934,0.54519093,0.5986037,0.5637473,0.25757712,0.4049757,0.37445286,0.19592197,0.13412444,0.33382607,0.46739683,0.46752158,0.22331652,0.39641255,0.437878,0.4820739,0.309443,0.43285584,0.38655823,0.5771986,0.482037,0.5993422,0.4742869,0.40656507,0.55087256,0.35710442,0.47601062,0.48706686,0.5382257,0.30341244,0.5536591,0.55100894
algolia,0.5679604,0.63642037,0.6440628,0.5412007,1.0,0.43915987,0.5709145,0.64726,0.5144914,0.55095434,0.574898,0.53280073,0.54400426,0.462869,0.49101266,0.530173,0.43990895,0.63586557,0.54437673,0.40522146,0.53703195,0.54533535,0.5293368,0.6775416,0.6450401,0.5666983,0.5083313,0.4972294,0.5008769,0.44601458,0.46465296,0.5569712,0.51175535,0.402259,0.55233157,0.55088156,0.43293154,0.5053881,0.4194743,0.47524583,0.41710886,0.46985155,0.635905,0.43466303,0.48063046,0.5179776,0.50983304,0.50150377,0.5348656,0.55603987,0.52802455,0.4311692,0.5637817,0.61485046,0.56752104,0.40926212,0.49576315,0.4740206,0.3706385,0.07366177,0.37141812,0.5158689,0.5933702,0.29753864,0.50882673,0.51529574,0.5375242,0.5400146,0.61661243,0.4120654,0.6336709,0.5789316,0.6175755,0.570166,0.409273,0.58662534,0.5482619,0.49260026,0.568702,0.63425756,0.4998023,0.5549408,0.58163685
amplitude,0.446822,0.5243467,0.547078,0.4338284,0.43915987,1.0000001,0.4459989,0.5116749,0.37604472,0.44021767,0.47863215,0.346923,0.43973863,0.32421505,0.38135007,0.41657892,0.3769322,0.53571594,0.5077958,0.41956943,0.34680784,0.41350383,0.3704287,0.54589504,0.48811656,0.49205858,0.42217383,0.40010166,0.3768069,0.28925562,0.3775731,0.3905357,0.5056251,0.2859913,0.47295377,0.3187769,0.3716671,0.48025936,0.37257555,0.38901523,0.4360118,0.34361562,0.44717407,0.38854825,0.43806636,0.4628402,0.39739633,0.42044938,0.41273892,0.40910405,0.45486158,0.41293404,0.4658014,0.45777076,0.4784522,0.27370596,0.34339756,0.34998173,0.2112408,0.12102436,0.2717243,0.48408222,0.43249816,0.28240982,0.35045952,0.4512842,0.46860683,0.3969939,0.46989357,0.43812352,0.5139746,0.49287415,0.5349391,0.50804114,0.24761981,0.4774689,0.43447137,0.44658953,0.46276128,0.50432074,0.36323327,0.42818528,0.46592712
anaconda,0.5245007,0.5587472,0.60133445,0.4174776,0.5709145,0.4459989,1.0000002,0.6193108,0.43053612,0.53983307,0.58020675,0.47156167,0.52708215,0.45069206,0.4507333,0.49875706,0.47881973,0.57280326,0.6379567,0.47784197,0.52981323,0.56849635,0.47051725,0.61803865,0.5653479,0.5007632,0.6129756,0.41468287,0.496194,0.40698653,0.5253545,0.5240289,0.48768508,0.37088278,0.57519025,0.42020023,0.385059,0.38382274,0.47305614,0.38197857,0.4241829,0.45394906,0.47055107,0.42060483,0.5297531,0.5561508,0.51391006,0.47101927,0.45417818,0.53884184,0.55900466,0.47425014,0.5092583,0.51963127,0.57128584,0.35741794,0.41651708,0.42586845,0.3375194,0.21350262,0.3872968,0.49547502,0.5660683,0.33144975,0.51281625,0.43946224,0.47945195,0.56174576,0.5983543,0.39970303,0.53480107,0.57558745,0.5025951,0.54495883,0.39686826,0.55845386,0.6201854,0.47132546,0.546461,0.521554,0.48897642,0.5110213,0.4770779
anyword,0.5569674,0.66711557,0.66697943,0.5187651,0.64726,0.5116749,0.6193108,1.0000001,0.5839117,0.56084526,0.68537724,0.5939125,0.6179558,0.5286007,0.64746344,0.6969686,0.58238953,0.7347163,0.67933863,0.5848537,0.56528294,0.6321663,0.6112826,0.768394,0.71349704,0.61322653,0.67345047,0.58879423,0.5939326,0.49179918,0.61224604,0.6691617,0.5872934,0.42605212,0.70664203,0.5170547,0.491835,0.5873704,0.6265031,0.5916977,0.510566,0.6083592,0.70386744,0.5236576,0.5469918,0.6554736,0.61382365,0.5652914,0.5663033,0.5817797,0.68439496,0.5314471,0.69325495,0.6307599,0.6104828,0.47009933,0.50792146,0.5149959,0.3357886,0.23815581,0.48798966,0.6358577,0.6483192,0.40012982,0.5751193,0.5957727,0.63068825,0.57604325,0.67857116,0.56778395,0.69640774,0.71364176,0.6690661,0.6803761,0.53662634,0.713027,0.61952037,0.6256051,0.67393756,0.7456032,0.5021628,0.63081527,0.60305494
appfollow,0.4205402,0.55959505,0.5258508,0.56927264,0.5144914,0.37604472,0.43053612,0.5839117,1.0000002,0.34422025,0.53540635,0.47171316,0.38525903,0.2966782,0.5068431,0.53860694,0.44214168,0.55532587,0.5167005,0.40288296,0.39695203,0.46857423,0.57069457,0.593336,0.55496144,0.44847918,0.494268,0.48412427,0.44536662,0.2815392,0.41676557,0.5579686,0.38163483,0.26916695,0.4723293,0.38190305,0.51101273,0.503515,0.47682834,0.4736177,0.31622338,0.34503812,0.50956726,0.4320628,0.376301,0.4300569,0.3550638,0.53236187,0.46800667,0.43020195,0.4239394,0.36599752,0.5676073,0.4885955,0.5038409,0.22856915,0.47871083,0.31291345,0.26156157,0.13201322,0.38945878,0.49010247,0.45618367,0.17952868,0.33504665,0.5036813,0.5166124,0.37263167,0.5387621,0.33583802,0.50676954,0.5547621,0.56286407,0.49986908,0.3451155,0.5345868,0.47794628,0.46001548,0.57198274,0.5757227,0.3324914,0.5566875,0.4823364
asana,0.64548415,0.57271314,0.6367487,0.41134152,0.55095434,0.44021767,0.53983307,0.56084526,0.34422025,0.9999997,0.5754554,0.5177245,0.595127,0.5384806,0.4558503,0.5003833,0.4271366,0.57411814,0.5656433,0.48640636,0.49548286,0.57841617,0.35395277,0.63515764,0.6825408,0.5135937,0.5193087,0.48809722,0.5962282,0.57792795,0.5826299,0.6104523,0.639902,0.47940746,0.58849955,0.45052737,0.47320563,0.5455992,0.3942687,0.4220394,0.45913392,0.43389606,0.498871,0.38423708,0.68089986,0.47250527,0.49789795,0.47077006,0.7034113,0.65556264,0.52776194,0.65570295,0.56872,0.5282152,0.5249614,0.43137914,0.40447333,0.5539485,0.45307383,0.24592438,0.46367916,0.5298897,0.72478604,0.38423997,0.5947104,0.3498198,0.6087818,0.623767,0.6130833,0.48417318,0.4976094,0.6014855,0.5361091,0.57333386,0.52856964,0.6522348,0.5390327,0.6123918,0.5610991,0.48066115,0.49719054,0.5416976,0.5522575
